Project: /root/B6_ORCA_campaign
Calculation root: /root/B6_ORCA_campaign/calculations/stage1
ORCA command: /root/ORCA_WORK/software/orca611_clean_test/orca_6_1_1_linux_x86-64_shared_openmpi418_nodmrg/orca
DONE  2026-05-01 06:04:20 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.60_q0_m1_R2SCAN-3C/B6_octahedral_3d_d1.60_q0_m1_R2SCAN-3C.inp
START 2026-05-01 06:04:20 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C/B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 06:05:42 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C/B6_octahedral_3d_d1.60_q0_m3_R2SCAN-3C.inp
START 2026-05-01 06:05:42 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.60_q0_m5_R2SCAN-3C/B6_octahedral_3d_d1.60_q0_m5_R2SCAN-3C.inp
DONE  2026-05-01 06:21:24 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.60_q0_m5_R2SCAN-3C/B6_octahedral_3d_d1.60_q0_m5_R2SCAN-3C.inp
START 2026-05-01 06:21:24 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.80_q0_m1_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m1_R2SCAN-3C.inp
DONE  2026-05-01 06:23:44 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.80_q0_m1_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m1_R2SCAN-3C.inp
START 2026-05-01 06:23:44 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C.inp
DONE  2026-05-01 06:25:16 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C.inp
START 2026-05-01 06:25:16 /root/B6_ORCA_campaign/calculations/stage1/B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m5_R2SCAN-3C.inp
