calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_random_3d_seed1000_d1.60_q0_m3_R2SCAN-3C,random_3d_seed1000,1.6,0,3,R2SCAN-3C,,-148.696182225807,1.28342296,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1000_d1.60_q0_m3_R2SCAN-3C.out
B6_trigonal_prism_d1.80_q0_m5_R2SCAN-3C,trigonal_prism,1.8,0,5,R2SCAN-3C,,-148.687043756054,1.53209339,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d1.80_q0_m5_R2SCAN-3C/B6_trigonal_prism_d1.80_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d1.80_q0_m5_R2SCAN-3C/B6_trigonal_prism_d1.80_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1000_d3.50_q0_m5_R2SCAN-3C,random_3d_seed1000,3.5,0,5,R2SCAN-3C,,-148.682418965305,1.65794035,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d3.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1000_d3.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d3.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1000_d3.50_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1003_d3.00_q0_m5_R2SCAN-3C,random_3d_seed1003,3.0,0,5,R2SCAN-3C,,-148.669780165771,2.00185961,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d3.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d3.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d3.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d3.00_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1003_d3.50_q0_m5_R2SCAN-3C,random_3d_seed1003,3.5,0,5,R2SCAN-3C,,-148.669771881879,2.00208503,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d3.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d3.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d3.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1003_d3.50_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1000_d1.60_q0_m5_R2SCAN-3C,random_3d_seed1000,1.6,0,5,R2SCAN-3C,,-148.669771208905,2.00210334,True,True,,,,False,calculations/stage1/B6_random_3d_seed1000_d1.60_q0_m5_R2SCAN-3C/B6_random_3d_seed1000_d1.60_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1000_d1.60_q0_m5_R2SCAN-3C/B6_random_3d_seed1000_d1.60_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1002_d2.00_q0_m5_R2SCAN-3C,random_3d_seed1002,2.0,0,5,R2SCAN-3C,,-148.669770541714,2.00212149,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d2.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d2.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d2.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d2.00_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1002_d1.80_q0_m5_R2SCAN-3C,random_3d_seed1002,1.8,0,5,R2SCAN-3C,,-148.669770253416,2.00212934,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d1.80_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d1.80_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d1.80_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d1.80_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1002_d2.20_q0_m5_R2SCAN-3C,random_3d_seed1002,2.2,0,5,R2SCAN-3C,,-148.669769682325,2.00214488,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d2.20_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d2.20_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d2.20_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d2.20_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1002_d2.50_q0_m5_R2SCAN-3C,random_3d_seed1002,2.5,0,5,R2SCAN-3C,,-148.669768877566,2.00216678,True,True,,,,False,calculations/stage1/B6_random_3d_seed1002_d2.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d2.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1002_d2.50_q0_m5_R2SCAN-3C/B6_random_3d_seed1002_d2.50_q0_m5_R2SCAN-3C.out
