calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_linear_chain_d1.80_q0_m5_R2SCAN-3C,linear_chain,1.8,0,5,R2SCAN-3C,,-148.613021000583,3.54635518,True,True,,,,False,calculations/stage1/B6_linear_chain_d1.80_q0_m5_R2SCAN-3C/B6_linear_chain_d1.80_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d1.80_q0_m5_R2SCAN-3C/B6_linear_chain_d1.80_q0_m5_R2SCAN-3C.out
B6_linear_chain_d2.00_q0_m5_R2SCAN-3C,linear_chain,2.0,0,5,R2SCAN-3C,,-148.613020998886,3.54635522,True,True,,,,False,calculations/stage1/B6_linear_chain_d2.00_q0_m5_R2SCAN-3C/B6_linear_chain_d2.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d2.00_q0_m5_R2SCAN-3C/B6_linear_chain_d2.00_q0_m5_R2SCAN-3C.out
B6_linear_chain_d2.50_q0_m5_R2SCAN-3C,linear_chain,2.5,0,5,R2SCAN-3C,,-148.613020943457,3.54635673,True,True,,,,False,calculations/stage1/B6_linear_chain_d2.50_q0_m5_R2SCAN-3C/B6_linear_chain_d2.50_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d2.50_q0_m5_R2SCAN-3C/B6_linear_chain_d2.50_q0_m5_R2SCAN-3C.out
B6_linear_chain_d3.00_q0_m5_R2SCAN-3C,linear_chain,3.0,0,5,R2SCAN-3C,,-148.613020722235,3.54636275,True,True,,,,False,calculations/stage1/B6_linear_chain_d3.00_q0_m5_R2SCAN-3C/B6_linear_chain_d3.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d3.00_q0_m5_R2SCAN-3C/B6_linear_chain_d3.00_q0_m5_R2SCAN-3C.out
B6_random_3d_seed1004_d3.00_q0_m5_R2SCAN-3C,random_3d_seed1004,3.0,0,5,R2SCAN-3C,,-148.609703614182,3.63662586,False,False,,,,False,calculations/stage1/B6_random_3d_seed1004_d3.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1004_d3.00_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1004_d3.00_q0_m5_R2SCAN-3C/B6_random_3d_seed1004_d3.00_q0_m5_R2SCAN-3C.out
B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C,trigonal_prism,2.2,0,3,R2SCAN-3C,,-148.605297528324,3.75652156,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C/B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C/B6_trigonal_prism_d2.20_q0_m3_R2SCAN-3C.out
B6_trigonal_prism_d2.50_q0_m3_R2SCAN-3C,trigonal_prism,2.5,0,3,R2SCAN-3C,,-148.605297527125,3.75652160,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d2.50_q0_m3_R2SCAN-3C/B6_trigonal_prism_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d2.50_q0_m3_R2SCAN-3C/B6_trigonal_prism_d2.50_q0_m3_R2SCAN-3C.out
B6_trigonal_prism_d2.00_q0_m3_R2SCAN-3C,trigonal_prism,2.0,0,3,R2SCAN-3C,,-148.605297524337,3.75652167,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d2.00_q0_m3_R2SCAN-3C/B6_trigonal_prism_d2.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d2.00_q0_m3_R2SCAN-3C/B6_trigonal_prism_d2.00_q0_m3_R2SCAN-3C.out
B6_trigonal_prism_d1.80_q0_m3_R2SCAN-3C,trigonal_prism,1.8,0,3,R2SCAN-3C,,-148.605297523972,3.75652168,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d1.80_q0_m3_R2SCAN-3C/B6_trigonal_prism_d1.80_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d1.80_q0_m3_R2SCAN-3C/B6_trigonal_prism_d1.80_q0_m3_R2SCAN-3C.out
B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C,rectangular_planar,1.8,0,5,R2SCAN-3C,,-148.602422467795,3.83475595,True,True,,,,False,calculations/stage1/B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C/B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C/B6_rectangular_planar_d1.80_q0_m5_R2SCAN-3C.out
